CNUM,BEEID,CHOICE,TEST,CONDITION,GROUP
2,6,0,Learning,COMPOSITE,12
3,6,1,Learning,COMPOSITE,12
4,6,1,Learning,COMPOSITE,12
5,6,1,Learning,COMPOSITE,12
6,6,1,Learning,COMPOSITE,12
7,6,1,Learning,COMPOSITE,12
8,6,1,Learning,COMPOSITE,12
9,6,0,Learning,COMPOSITE,12
10,6,0,Learning,COMPOSITE,12
1,6,0,7v9,COMPOSITE,12
2,6,1,7v9,COMPOSITE,12
3,6,1,7v9,COMPOSITE,12
4,6,0,7v9,COMPOSITE,12
5,6,0,7v9,COMPOSITE,12
6,6,1,7v9,COMPOSITE,12
7,6,0,7v9,COMPOSITE,12
8,6,1,7v9,COMPOSITE,12
9,6,0,7v9,COMPOSITE,12
10,6,1,7v9,COMPOSITE,12
1,6,1,7v8,COMPOSITE,12
2,6,0,7v8,COMPOSITE,12
3,6,1,7v8,COMPOSITE,12
4,6,0,7v8,COMPOSITE,12
5,6,0,7v8,COMPOSITE,12
6,6,1,7v8,COMPOSITE,12
7,6,0,7v8,COMPOSITE,12
8,6,0,7v8,COMPOSITE,12
9,6,1,7v8,COMPOSITE,12
10,6,1,7v8,COMPOSITE,12
1,7,1,Learning,PRIME,21
2,7,0,Learning,PRIME,21
3,7,0,Learning,PRIME,21
4,7,1,Learning,PRIME,21
5,7,1,Learning,PRIME,21
6,7,0,Learning,PRIME,21
7,7,0,Learning,PRIME,21
8,7,1,Learning,PRIME,21
9,7,1,Learning,PRIME,21
10,7,1,Learning,PRIME,21
1,7,1,7v9,PRIME,21
2,7,1,7v9,PRIME,21
3,7,1,7v9,PRIME,21
4,7,0,7v9,PRIME,21
5,7,1,7v9,PRIME,21
6,7,0,7v9,PRIME,21
7,7,0,7v9,PRIME,21
8,7,1,7v9,PRIME,21
9,7,0,7v9,PRIME,21
10,7,0,7v9,PRIME,21
1,7,0,7v8,PRIME,21
2,7,0,7v8,PRIME,21
3,7,1,7v8,PRIME,21
4,7,0,7v8,PRIME,21
5,7,1,7v8,PRIME,21
6,7,1,7v8,PRIME,21
7,7,0,7v8,PRIME,21
8,7,1,7v8,PRIME,21
9,7,0,7v8,PRIME,21
10,7,1,7v8,PRIME,21
1,8,1,Learning,COMPOSITE,21
2,8,0,Learning,COMPOSITE,21
3,8,0,Learning,COMPOSITE,21
4,8,1,Learning,COMPOSITE,21
5,8,1,Learning,COMPOSITE,21
6,8,1,Learning,COMPOSITE,21
7,8,0,Learning,COMPOSITE,21
8,8,1,Learning,COMPOSITE,21
9,8,1,Learning,COMPOSITE,21
10,8,1,Learning,COMPOSITE,21
1,8,0,7v9,COMPOSITE,21
2,8,1,7v9,COMPOSITE,21
3,8,0,7v9,COMPOSITE,21
4,8,0,7v9,COMPOSITE,21
5,8,1,7v9,COMPOSITE,21
6,8,0,7v9,COMPOSITE,21
7,8,0,7v9,COMPOSITE,21
8,8,0,7v9,COMPOSITE,21
9,8,1,7v9,COMPOSITE,21
10,8,1,7v9,COMPOSITE,21
1,8,1,7v8,COMPOSITE,21
2,8,1,7v8,COMPOSITE,21
3,8,1,7v8,COMPOSITE,21
4,8,1,7v8,COMPOSITE,21
5,8,1,7v8,COMPOSITE,21
6,8,0,7v8,COMPOSITE,21
7,8,1,7v8,COMPOSITE,21
8,8,1,7v8,COMPOSITE,21
9,8,1,7v8,COMPOSITE,21
10,8,1,7v8,COMPOSITE,21
1,9,1,Learning,PRIME,12
2,9,1,Learning,PRIME,12
3,9,0,Learning,PRIME,12
4,9,1,Learning,PRIME,12
5,9,0,Learning,PRIME,12
6,9,1,Learning,PRIME,12
7,9,1,Learning,PRIME,12
8,9,1,Learning,PRIME,12
9,9,0,Learning,PRIME,12
10,9,0,Learning,PRIME,12
1,9,1,7v9,PRIME,12
2,9,1,7v9,PRIME,12
3,9,0,7v9,PRIME,12
4,9,0,7v9,PRIME,12
5,9,0,7v9,PRIME,12
6,9,1,7v9,PRIME,12
7,9,1,7v9,PRIME,12
8,9,1,7v9,PRIME,12
9,9,0,7v9,PRIME,12
10,9,1,7v9,PRIME,12
1,9,0,7v8,PRIME,12
2,9,0,7v8,PRIME,12
3,9,1,7v8,PRIME,12
4,9,1,7v8,PRIME,12
5,9,0,7v8,PRIME,12
6,9,0,7v8,PRIME,12
7,9,0,7v8,PRIME,12
8,9,1,7v8,PRIME,12
9,9,1,7v8,PRIME,12
10,9,0,7v8,PRIME,12
1,10,1,Learning,COMPOSITE,21
2,10,1,Learning,COMPOSITE,21
3,10,1,Learning,COMPOSITE,21
4,10,1,Learning,COMPOSITE,21
5,10,1,Learning,COMPOSITE,21
6,10,1,Learning,COMPOSITE,21
7,10,0,Learning,COMPOSITE,21
8,10,1,Learning,COMPOSITE,21
9,10,0,Learning,COMPOSITE,21
10,10,1,Learning,COMPOSITE,21
1,10,0,7v9,COMPOSITE,21
2,10,1,7v9,COMPOSITE,21
3,10,0,7v9,COMPOSITE,21
4,10,0,7v9,COMPOSITE,21
5,10,1,7v9,COMPOSITE,21
6,10,1,7v9,COMPOSITE,21
7,10,1,7v9,COMPOSITE,21
8,10,1,7v9,COMPOSITE,21
9,10,0,7v9,COMPOSITE,21
10,10,1,7v9,COMPOSITE,21
1,10,0,7v8,COMPOSITE,21
2,10,0,7v8,COMPOSITE,21
3,10,1,7v8,COMPOSITE,21
4,10,1,7v8,COMPOSITE,21
5,10,0,7v8,COMPOSITE,21
6,10,1,7v8,COMPOSITE,21
7,10,1,7v8,COMPOSITE,21
8,10,1,7v8,COMPOSITE,21
9,10,1,7v8,COMPOSITE,21
10,10,1,7v8,COMPOSITE,21
1,11,1,Learning,PRIME,12
2,11,1,Learning,PRIME,12
3,11,1,Learning,PRIME,12
4,11,1,Learning,PRIME,12
5,11,0,Learning,PRIME,12
6,11,1,Learning,PRIME,12
7,11,1,Learning,PRIME,12
8,11,0,Learning,PRIME,12
9,11,1,Learning,PRIME,12
10,11,1,Learning,PRIME,12
1,11,1,7v9,PRIME,12
2,11,1,7v9,PRIME,12
3,11,0,7v9,PRIME,12
4,11,1,7v9,PRIME,12
5,11,1,7v9,PRIME,12
6,11,1,7v9,PRIME,12
7,11,0,7v9,PRIME,12
8,11,1,7v9,PRIME,12
9,11,1,7v9,PRIME,12
10,11,0,7v9,PRIME,12
1,11,1,7v8,PRIME,12
2,11,1,7v8,PRIME,12
3,11,1,7v8,PRIME,12
4,11,0,7v8,PRIME,12
5,11,1,7v8,PRIME,12
6,11,0,7v8,PRIME,12
7,11,1,7v8,PRIME,12
8,11,1,7v8,PRIME,12
9,11,0,7v8,PRIME,12
10,11,1,7v8,PRIME,12
1,12,0,Learning,COMPOSITE,12
2,12,1,Learning,COMPOSITE,12
3,12,1,Learning,COMPOSITE,12
4,12,0,Learning,COMPOSITE,12
5,12,0,Learning,COMPOSITE,12
6,12,1,Learning,COMPOSITE,12
7,12,0,Learning,COMPOSITE,12
8,12,1,Learning,COMPOSITE,12
9,12,1,Learning,COMPOSITE,12
10,12,1,Learning,COMPOSITE,12
1,12,1,7v9,COMPOSITE,12
2,12,0,7v9,COMPOSITE,12
3,12,1,7v9,COMPOSITE,12
4,12,1,7v9,COMPOSITE,12
5,12,1,7v9,COMPOSITE,12
6,12,0,7v9,COMPOSITE,12
7,12,0,7v9,COMPOSITE,12
8,12,0,7v9,COMPOSITE,12
9,12,1,7v9,COMPOSITE,12
10,12,1,7v9,COMPOSITE,12
1,12,0,7v8,COMPOSITE,12
2,12,0,7v8,COMPOSITE,12
3,12,1,7v8,COMPOSITE,12
4,12,0,7v8,COMPOSITE,12
5,12,0,7v8,COMPOSITE,12
6,12,1,7v8,COMPOSITE,12
7,12,1,7v8,COMPOSITE,12
8,12,1,7v8,COMPOSITE,12
9,12,0,7v8,COMPOSITE,12
10,12,0,7v8,COMPOSITE,12
