BEEID,CNUM,CONDITION,CHOICE,TESTORDER
6,4,LARGE,0,SECOND
6,5,LARGE,1,SECOND
6,6,LARGE,0,SECOND
6,7,LARGE,1,SECOND
6,8,LARGE,1,SECOND
6,9,LARGE,0,SECOND
6,10,LARGE,1,SECOND
6,1,DIFFICULT,0,SECOND
6,2,DIFFICULT,0,SECOND
6,3,DIFFICULT,0,SECOND
6,4,DIFFICULT,1,SECOND
6,5,DIFFICULT,1,SECOND
6,6,DIFFICULT,1,SECOND
6,7,DIFFICULT,1,SECOND
6,8,DIFFICULT,1,SECOND
6,9,DIFFICULT,1,SECOND
6,10,DIFFICULT,1,SECOND
7,1,SMALL,1,SECOND
7,2,SMALL,0,SECOND
7,3,SMALL,1,SECOND
7,4,SMALL,0,SECOND
7,5,SMALL,0,SECOND
7,6,SMALL,1,SECOND
7,7,SMALL,1,SECOND
7,8,SMALL,0,SECOND
7,9,SMALL,0,SECOND
7,10,SMALL,1,SECOND
7,1,LARGE,1,SECOND
7,2,LARGE,0,SECOND
7,3,LARGE,1,SECOND
7,4,LARGE,0,SECOND
7,5,LARGE,0,SECOND
7,6,LARGE,1,SECOND
7,7,LARGE,0,SECOND
7,8,LARGE,1,SECOND
7,9,LARGE,0,SECOND
7,10,LARGE,0,SECOND
7,1,DIFFICULT,1,SECOND
7,2,DIFFICULT,1,SECOND
7,3,DIFFICULT,0,SECOND
7,4,DIFFICULT,1,SECOND
7,5,DIFFICULT,1,SECOND
7,6,DIFFICULT,1,SECOND
7,7,DIFFICULT,0,SECOND
7,8,DIFFICULT,1,SECOND
7,9,DIFFICULT,1,SECOND
7,10,DIFFICULT,0,SECOND
8,1,SMALL,1,SECOND
8,2,SMALL,1,SECOND
8,3,SMALL,0,SECOND
8,4,SMALL,1,SECOND
8,5,SMALL,0,SECOND
8,6,SMALL,0,SECOND
8,7,SMALL,1,SECOND
8,8,SMALL,0,SECOND
8,9,SMALL,1,SECOND
8,10,SMALL,1,SECOND
8,1,LARGE,0,SECOND
8,2,LARGE,0,SECOND
8,3,LARGE,0,SECOND
8,4,LARGE,1,SECOND
8,5,LARGE,1,SECOND
8,6,LARGE,0,SECOND
8,7,LARGE,0,SECOND
8,8,LARGE,1,SECOND
8,9,LARGE,1,SECOND
8,10,LARGE,1,SECOND
8,1,DIFFICULT,0,SECOND
8,2,DIFFICULT,0,SECOND
8,3,DIFFICULT,1,SECOND
8,4,DIFFICULT,0,SECOND
8,5,DIFFICULT,1,SECOND
8,6,DIFFICULT,1,SECOND
8,7,DIFFICULT,0,SECOND
8,8,DIFFICULT,0,SECOND
8,9,DIFFICULT,1,SECOND
8,10,DIFFICULT,1,SECOND
9,1,SMALL,0,SECOND
9,2,SMALL,0,SECOND
